Constituency,Const. No.,Leading Candidate,State,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Gurdaspur,1,SUKHJINDER SINGH RANDHAWA,Punjab,Indian National Congress,DINESH SINGH BABBU,Bharatiya Janata Party,82861,Result Declared
GURGAON,9,RAO INDERJIT SINGH,Haryana,Bharatiya Janata Party,RAJ BABBAR,Indian National Congress,75079,Result Declared
Guwahati,5,BIJULI KALITA MEDHI,Assam,Bharatiya Janata Party,MIRA BORTHAKUR GOSWAMI,Indian National Congress,251090,Result Declared
GWALIOR,3,BHARAT SINGH KUSHWAH,Madhya Pradesh,Bharatiya Janata Party,PRAVEEN PATHAK,Indian National Congress,70210,Result Declared
Hajipur,21,CHIRAG PASWAN,Bihar,Lok Janshakti Party(Ram Vilas),SHIV CHANDRA RAM,Rashtriya Janata Dal,170105,Result Declared
HAMIRPUR,3,ANURAG SINGH THAKUR,Himachal Pradesh,Bharatiya Janata Party,SATPAL RAIZADA,Indian National Congress,182357,Result Declared
Hamirpur,47,AJENDRA SINGH LODHI,Uttar Pradesh,Samajwadi Party,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,2629,Result Declared
Hardoi,31,JAI PRAKASH,Uttar Pradesh,Bharatiya Janata Party,USHA VERMA,Samajwadi Party,27856,Result Declared
Haridwar,5,TRIVENDRA SINGH RAWAT,Uttarakhand,Bharatiya Janata Party,VIRENDRA RAWAT,Indian National Congress,164056,Result Declared
Hassan,16,SHREYAS. M. PATEL,Karnataka,Indian National Congress,PRAJWAL REVANNA,Janata Dal (Secular),42649,Result Declared
Hathras,16,ANOOP PRADHAN BALMIKI,Uttar Pradesh,Bharatiya Janata Party,JASVEER VALMIKI,Samajwadi Party,247318,Result Declared
Hatkanangale,48,DHAIRYASHEEL SAMBHAJIRAO MANE,Maharashtra,Shiv Sena,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,Shiv Sena (Uddhav Balasaheb Thackrey),13426,Result Declared
Haveri,10,BASAVARAJ BOMMAI,Karnataka,Bharatiya Janata Party,ANANDSWAMY GADDADEVARMATH,Indian National Congress,43513,Result Declared
Hazaribagh,14,MANISH JAISWAL,Jharkhand,Bharatiya Janata Party,JAI PRAKASH BHAI PATEL,Indian National Congress,276686,Result Declared
Hindupur,20,B K PARTHASARATHI,Andhra Pradesh,Telugu Desam,J SHANTHA,Yuvajana Sramika Rythu Congress Party,132427,Result Declared
Hingoli,15,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackrey),BABURAO KADAM KOHALIKAR,Shiv Sena,108602,Result Declared
HISAR,4,JAI PARKASH (J P) S/O HARIKESH,Haryana,Indian National Congress,RANJIT SINGH,Bharatiya Janata Party,63381,Result Declared
Hooghly,28,RACHNA BANERJEE,West Bengal,All India Trinamool Congress,LOCKET CHATTERJEE,Bharatiya Janata Party,76853,Result Declared
HOSHANGABAD,17,DARSHAN SINGH CHOUDHARY,Madhya Pradesh,Bharatiya Janata Party,SANJAY SHARMA SANJU BHAIYA,Indian National Congress,431696,Result Declared
Hoshiarpur,5,DR. RAJ KUMAR CHABBEWAL,Punjab,Aam Aadmi Party,YAMINI GOMAR,Indian National Congress,44111,Result Declared
Howrah,25,PRASUN BANERJEE,West Bengal,All India Trinamool Congress,DR RATHIN CHAKRAVARTY,Bharatiya Janata Party,169442,Result Declared
Hyderabad,9,ASADUDDIN OWAISI,Telangana,All India Majlis-E-Ittehadul Muslimeen,MADHAVI LATHA KOMPELLA,Bharatiya Janata Party,338087,Result Declared
Idukki,13,ADV. DEAN KURIAKOSE,Kerala,Indian National Congress,ADV. JOICE GEORGE,Communist Party of India (Marxist),133727,Result Declared
INDORE,26,SHANKAR LALWANI,Madhya Pradesh,Bharatiya Janata Party,SANJAY S/O LAKSHMAN SOLANKI,Bahujan Samaj Party,1175092,Result Declared
Inner Manipur,1,ANGOMCHA BIMOL AKOIJAM,Manipur,Indian National Congress,THOUNAOJAM BASANTA KUMAR SINGH,Bharatiya Janata Party,109801,Result Declared
JABALPUR,13,ASHISH DUBEY,Madhya Pradesh,Bharatiya Janata Party,DINESH YADAV,Indian National Congress,486674,Result Declared
Jadavpur,22,SAYANI GHOSH,West Bengal,All India Trinamool Congress,DR. ANIRBAN GANGULY,Bharatiya Janata Party,258201,Result Declared
Jagatsinghpur,16,BIBHU PRASAD TARAI,Odisha,Bharatiya Janata Party,DR. RAJASHREE MALLICK,Biju Janata Dal,40696,Result Declared
Jahanabad,36,SURENDRA PRASAD YADAV,Bihar,Rashtriya Janata Dal,CHANDESHWAR PRASAD,Janata Dal (United),142591,Result Declared
JAIPUR,7,MANJU SHARMA,Rajasthan,Bharatiya Janata Party,PRATAP SINGH KHACHARIYAWAS,Indian National Congress,331767,Result Declared
JAIPUR RURAL,6,RAO RAJENDRA SINGH,Rajasthan,Bharatiya Janata Party,ANIL CHOPRA,Indian National Congress,1615,Result Declared
Jajpur,8,RABINDRA NARAYAN BEHERA,Odisha,Bharatiya Janata Party,SARMISTHA SETHI,Biju Janata Dal,1587,Result Declared
Jalandhar,4,CHARANJIT SINGH CHANNI,Punjab,Indian National Congress,SUSHIL KUMAR RINKU,Bharatiya Janata Party,175993,Result Declared
Jalaun,45,NARAYAN DAS AHIRWAR,Uttar Pradesh,Samajwadi Party,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,53898,Result Declared
Jalgaon,3,SMITA UDAY WAGH,Madhya Pradesh,Bharatiya Janata Party,KARAN BALASAHEB PATIL - PAWAR,Shiv Sena (Uddhav Balasaheb Thackrey),251594,Result Declared
Jalna,18,KALYAN VAIJINATHRAO KALE,Maharashtra,Indian National Congress,DANVE RAOSAHEB DADARAO,Bharatiya Janata Party,109958,Result Declared
JALORE,18,LUMBARAM,Rajasthan,Bharatiya Janata Party,VAIBHAV GEHLOT,Indian National Congress,201543,Result Declared
Jalpaiguri,3,DR JAYANTA KUMAR ROY,West Bengal,Bharatiya Janata Party,NIRMAL CHANDRA ROY,All India Trinamool Congress,86693,Result Declared
JAMMU,5,JUGAL KISHORE,Jammu & Kashmir,Bharatiya Janata Party,RAMAN BHALLA,Indian National Congress,135498,Result Declared
Jamnagar,12,POONAMBEN HEMATBHAI MAADAM,Gujarat,Bharatiya Janata Party,ADVOCATE J. P. MARAVIYA,Indian National Congress,238008,Result Declared
Jamshedpur,9,BIDYUT BARAN MAHATO,Jharkhand,Bharatiya Janata Party,SAMIR KUMAR MOHANTY,Jharkhand Mukti Morcha,259782,Result Declared
Jamui,40,ARUN BHARTI,Bihar,Lok Janshakti Party(Ram Vilas),ARCHANA KUMARI,Rashtriya Janata Dal,112482,Result Declared
Jangipur,9,KHALILUR RAHAMAN,West Bengal,All India Trinamool Congress,MURTOJA HOSSAIN BOKUL,Indian National Congress,116637,Result Declared
JANJGIR-CHAMPA,3,KAMLESH JANGDE,Chhattisgarh,Bharatiya Janata Party,DR. SHIVKUMAR DAHARIYA,Indian National Congress,60000,Result Declared
Jaunpur,73,BABU SINGH KUSHWAHA,Uttar Pradesh,Samajwadi Party,KRIPASHANKAR SINGH,Bharatiya Janata Party,99335,Result Declared
JHALAWAR-BARAN,25,DUSHYANT SINGH,Rajasthan,Bharatiya Janata Party,URMILA JAIN “BHAYA”,Indian National Congress,370989,Result Declared
Jhanjharpur,7,RAMPRIT MANDAL,Bihar,Janata Dal (United),SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,184169,Result Declared
Jhansi,46,ANURAG SHARMA,Uttar Pradesh,Bharatiya Janata Party,"PRADEEP JAIN ""ADITYA""",Indian National Congress,102614,Result Declared
Jhargram,33,KALIPADA SAREN (KHERWAL),West Bengal,All India Trinamool Congress,DR. PRANAT TUDU,Bharatiya Janata Party,174048,Result Declared
JHUNJHUNU,4,BRIJENDRA SINGH OLA,Rajasthan,Indian National Congress,SHUBHKARAN CHOUDHARY,Bharatiya Janata Party,18235,Result Declared
JODHPUR,16,GAJENDRA SINGH SHEKHAWAT,Rajasthan,Bharatiya Janata Party,KARAN SINGH UCHIYARDA,Indian National Congress,115677,Result Declared
Jorhat,14,GAURAV GOGOI,Assam,Indian National Congress,TOPON KUMAR GOGOI,Bharatiya Janata Party,144393,Result Declared
Joynagar,19,PRATIMA MONDAL,West Bengal,All India Trinamool Congress,ASHOK KANDARY,Bharatiya Janata Party,470219,Result Declared
Junagadh,13,CHUDASAMA RAJESHBHAI NARANBHAI,Gujarat,Bharatiya Janata Party,JOTVA HIRABHAI ARJANBHAI,Indian National Congress,135494,Result Declared
Kachchh,1,CHAVDA VINOD LAKHAMSHI,Gujarat,Bharatiya Janata Party,NITESH PARBATBHAI LALAN (MATANG),Indian National Congress,268782,Result Declared
Kadapa,21,Y. S. AVINASH REDDY,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,62695,Result Declared
Kairana,2,IQRA CHOUDHARY,Uttar Pradesh,Samajwadi Party,PRADEEP KUMAR,Bharatiya Janata Party,69116,Result Declared
Kaiserganj,57,KARAN BHUSHAN SINGH,Uttar Pradesh,Bharatiya Janata Party,BHAGAT RAM,Samajwadi Party,148843,Result Declared
Kakinada,6,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),Andhra Pradesh,Janasena Party,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,229491,Result Declared
Kalahandi,11,MALVIKA DEVI,Odisha,Bharatiya Janata Party,LAMBODAR NIAL,Biju Janata Dal,133813,Result Declared
KALLAKURICHI,14,MALAIYARASAN D,Tamil Nadu,Dravida Munnetra Kazhagam,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,53784,Result Declared
Kalyan,24,DR SHRIKANT EKNATH SHINDE,Maharashtra,Shiv Sena,VAISHALI DAREKAR - RANE,Shiv Sena (Uddhav Balasaheb Thackrey),209144,Result Declared
KANCHEEPURAM,6,SELVAM. G,Tamil Nadu,Dravida Munnetra Kazhagam,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,221473,Result Declared
Kandhamal,13,SUKANTA KUMAR PANIGRAHI,Odisha,Bharatiya Janata Party,ACHYUTANANDA SAMANTA,Biju Janata Dal,21371,Result Declared
KANGRA,1,DR RAJEEV BHARDWAJ,Himachal Pradesh,Bharatiya Janata Party,ANAND SHARMA,Indian National Congress,251895,Result Declared
KANKER,11,BHOJRAJ NAG,Chhattisgarh,Bharatiya Janata Party,BIRESH THAKUR,Indian National Congress,1884,Result Declared
Kannauj,42,AKHILESH YADAV,Uttar Pradesh,Samajwadi Party,SUBRAT PATHAK,Bharatiya Janata Party,170922,Result Declared
KANNIYAKUMARI,39,VIJAYAKUMAR (Alias) VIJAY VASANTH,Tamil Nadu,Indian National Congress,RADHAKRISHNAN P,Bharatiya Janata Party,179907,Result Declared
Kannur,2,K. SUDHAKARAN,Kerala,Indian National Congress,M.V. JAYARAJAN,Communist Party of India (Marxist),108982,Result Declared
Kanpur,43,RAMESH AWASTHI,Uttar Pradesh,Bharatiya Janata Party,ALOK MISRA,Indian National Congress,20968,Result Declared
Kanthi,31,ADHIKARI SOUMENDU,West Bengal,Bharatiya Janata Party,UTTAM BARIK SON OF LATE BIRENDRA BARIK,All India Trinamool Congress,47764,Result Declared
Karakat,35,RAJA RAM SINGH,Bihar,Communist Party of India (Marxist-Leninist) (Liberation),PAWAN SINGH,Independent,105858,Result Declared
KARAULI-DHOLPUR,10,BHAJAN LAL JATAV,Rajasthan,Indian National Congress,INDU DEVI,Bharatiya Janata Party,98945,Result Declared
Karimganj,7,KRIPANATH MALLAH,Assam,Bharatiya Janata Party,HAFIZ RASHID AHMED CHOUDHURY,Indian National Congress,18360,Result Declared
Karimnagar,3,BANDI SANJAY KUMAR,Telangana,Bharatiya Janata Party,VELCHALA RAJENDER RAO,Indian National Congress,225209,Result Declared
KARNAL,5,MANOHAR LAL,Haryana,Bharatiya Janata Party,DIVYANSHU BUDHIRAJA,Indian National Congress,232577,Result Declared
KARUR,23,JOTHIMANI. S,Tamil Nadu,Indian National Congress,THANGAVEL. L,All India Anna Dravida Munnetra Kazhagam,166816,Result Declared
Kasaragod,1,RAJMOHAN UNNITHAN,Kerala,Indian National Congress,M.V BALAKRISHNAN MASTER,Communist Party of India (Marxist),100649,Result Declared
Katihar,11,TARIQ ANWAR,Bihar,Indian National Congress,DULAL CHANDRA GOSWAMI,Janata Dal (United),49863,Result Declared
Kaushambi,50,PUSHPENDRA SAROJ,Uttar Pradesh,Samajwadi Party,VINOD KUMAR SONKAR,Bharatiya Janata Party,103944,Result Declared
Kaziranga,10,KAMAKHYA PRASAD TASA,Assam,Bharatiya Janata Party,ROSELINA TIRKEY,Indian National Congress,248947,Result Declared
Kendrapara,15,BAIJAYANT PANDA,Odisha,Bharatiya Janata Party,ANSHUMAN MOHANTY,Biju Janata Dal,66536,Result Declared
Keonjhar,4,ANANTA NAYAK,Odisha,Bharatiya Janata Party,DHANURJAYA SIDU,Biju Janata Dal,97042,Result Declared
Khadoor Sahib,3,AMRITPAL SINGH,Punjab,Independent,KULBIR SINGH ZIRA,Indian National Congress,197120,Result Declared
Khagaria,25,RAJESH VERMA,Bihar,Lok Janshakti Party(Ram Vilas),SANJAY KUMAR,Communist Party of India (Marxist),161131,Result Declared
KHAJURAHO,8,VISHNU DATT SHARMA (V.D.SHARMA),Madhya Pradesh,Bharatiya Janata Party,KAMLESH KUMAR,Bahujan Samaj Party,541229,Result Declared
Khammam,17,RAMASAHAYAM RAGHURAM REDDY,Telangana,Indian National Congress,NAMA NAGESWARA RAO,Bharat Rashtra Samith,467847,Result Declared
KHANDWA,28,GYANESHWAR PATIL,Madhya Pradesh,Bharatiya Janata Party,NARENDRA PATEL,Indian National Congress,269971,Result Declared
KHARGONE,27,GAJENDRA SINGH PATEL,Madhya Pradesh,Bharatiya Janata Party,PORLAL BATHA KHARTE,Indian National Congress,135018,Result Declared
Kheda,17,DEVUSINH CHAUHAN,Gujarat,Bharatiya Janata Party,KALUSINH DABHI,Indian National Congress,357758,Result Declared
Kheri,28,UTKARSH VERMA 'MADHUR',Uttar Pradesh,Samajwadi Party,AJAY KUMAR,Bharatiya Janata Party,34329,Result Declared
Khunti,11,KALI CHARAN MUNDA,Jharkhand,Indian National Congress,ARJUN MUNDA,Bharatiya Janata Party,149675,Result Declared
Kishanganj,10,MOHAMMAD JAWED,Bihar,Indian National Congress,MUJAHID ALAM,Janata Dal (United),59692,Result Declared
Kodarma,5,ANNPURNA DEVI,Jharkhand,Bharatiya Janata Party,VINOD KUMAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation),377014,Result Declared
Kokrajhar,1,JOYANTA BASUMATARY,Assam,"United People’s Party, Liberal",KAMPA BORGOYARI,Bodoland Peoples Front,51583,Result Declared
Kolar,28,M. MALLESH BABU,Karnataka,Janata Dal (Secular),K V GOWTHAM,Indian National Congress,71388,Result Declared
Kolhapur,47,CHHATRAPATI SHAHU SHAHAJI,Maharashtra,Indian National Congress,SANJAY SADASHIVRAO MANDLIK,Shiv Sena,154964,Result Declared
Kolkata Dakshin,23,MALA ROY,West Bengal,All India Trinamool Congress,DEBASREE CHAUDHURI,Bharatiya Janata Party,187231,Result Declared
Kolkata Uttar,24,BANDYOPADHYAY SUDIP,West Bengal,All India Trinamool Congress,TAPAS ROY,Bharatiya Janata Party,92560,Result Declared
Kollam,18,N K PREMACHANDRAN,Kerala,Revolutionary Socialist Party,M MUKESH,Communist Party of India (Marxist),150302,Result Declared
Koppal,8,K. RAJASHEKAR BASAVARAJ HITNAL,Karnataka,Indian National Congress,DR . BASAVARAJ. K. SHARANAPPA,Bharatiya Janata Party,46357,Result Declared
Koraput,21,SAPTAGIRI SANKAR ULAKA,Odisha,Indian National Congress,KAUSALYA HIKAKA,Biju Janata Dal,147744,Result Declared
KORBA,4,JYOTSNA CHARANDAS MAHANT,Chhattisgarh,Indian National Congress,SAROJ PANDEY,Bharatiya Janata Party,43283,Result Declared
KOTA,24,OM BIRLA,Rajasthan,Bharatiya Janata Party,PRAHLAD GUNJAL,Indian National Congress,41974,Result Declared
Kottayam,14,ADV K FRANCIS GEORGE,Kerala,Kerala Congress,THOMAS CHAZHIKADAN,Kerala Congress (M),87266,Result Declared
Kozhikode,5,M. K. RAGHAVAN,Kerala,Indian National Congress,ELAMARAM KAREEM,Communist Party of India (Marxist),146176,Result Declared
KRISHNAGIRI,9,GOPINATH K,Tamil Nadu,Indian National Congress,JAYAPRAKASH V,All India Anna Dravida Munnetra Kazhagam,192486,Result Declared
Krishnanagar,12,MAHUA MOITRA,West Bengal,All India Trinamool Congress,AMRITA ROY,Bharatiya Janata Party,56705,Result Declared
Kurnoolu,18,BASTIPATI NAGARAJU PANCHALINGALA,Andhra Pradesh,Telugu Desam,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,111298,Result Declared
KURUKSHETRA,2,NAVEEN JINDAL,Haryana,Bharatiya Janata Party,DR SUSHIL GUPTA,Aam Aadmi Party,29021,Result Declared
Kushi Nagar,65,VIJAY KUMAR DUBAY,Uttar Pradesh,Bharatiya Janata Party,AJAY PRATAP SINGH URF PINTU SAITHWAR,Samajwadi Party,81790,Result Declared
Ladakh,1,MOHMAD HANEEFA,Ladhak,Independent,TSERING NAMGYAL,Indian National Congress,27862,Result Declared
Lakhimpur,12,PRADAN BARUAH,Assam,Bharatiya Janata Party,UDAY SHANKAR HAZARIKA,Indian National Congress,201257,Result Declared
Lakshadweep,1,MUHAMMED HAMDULLAH SAYEED,Lakshadweep,Indian National Congress,MOHAMMED FAIZAL PP,Nationalist Congress Party – Sharadchandra Pawar,2647,Result Declared
Lalganj,68,DAROGA PRASAD SAROJ,Uttar Pradesh,Samajwadi Party,NEELAM SONKER,Bharatiya Janata Party,115023,Result Declared
Latur,41,DR. KALGE SHIVAJI BANDAPPA,Maharashtra,Indian National Congress,SUDHAKAR TUKARAM SHRANGARE,Bharatiya Janata Party,61881,Result Declared
Lohardaga,12,SUKHDEO BHAGAT,Jharkhand,Indian National Congress,SAMIR ORAON,Bharatiya Janata Party,139138,Result Declared
Lucknow,35,RAJ NATH SINGH,Uttar Pradesh,Bharatiya Janata Party,RAVIDAS MEHROTRA,Samajwadi Party,135159,Result Declared
Ludhiana,7,AMRINDER SINGH RAJA WARRING,Punjab,Indian National Congress,RAVNEET SINGH BITTU,Bharatiya Janata Party,20942,Result Declared
Machhlishahr,74,PRIYA SAROJ,Uttar Pradesh,Samajwadi Party,BHOLANATH (B.P. SAROJ),Bharatiya Janata Party,35850,Result Declared
Machilipatnam,11,BALASHOWRY VALLABHANENI,Andhra Pradesh,Janasena Party,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,223179,Result Declared
Madha,43,MOHITE-PATIL DHAIRYASHEEL RAJSINH,Maharashtra,Nationalist Congress Party – Sharadchandra Pawar,RANJEETSINGH HINDURAO NAIK NIMBALKAR,Bharatiya Janata Party,120837,Result Declared
Madhepura,13,DINESH CHANDRA YADAV,Bihar,Janata Dal (United),DA KUMAR CHANDRADEEP,Rashtriya Janata Dal,174534,Result Declared
Madhubani,6,ASHOK KUMAR YADAV,Bihar,Bharatiya Janata Party,MD ALI ASHRAF FATMI,Rashtriya Janata Dal,151945,Result Declared
MADURAI,32,VENKATESAN S,Tamil Nadu,Communist Party of India (Marxist),RAAMA SREENIVASAN,Bharatiya Janata Party,209409,Result Declared
Mahabubabad,16,BALRAM NAIK PORIKA,Telangana,Indian National Congress,KAVITHA MALOTH,Bharat Rashtra Samith,349165,Result Declared
Maharajganj,63,PANKAJ CHAUDHARY,Uttar Pradesh,Bharatiya Janata Party,VIRENDRA CHAUDHARY,Indian National Congress,35451,Result Declared
Maharajganj,19,"JANARDAN SINGH ""SIGRIWAL""",Bihar,Bharatiya Janata Party,AAKASH KUMAR SINGH,Indian National Congress,102651,Result Declared
MAHASAMUND,9,ROOP KUMARI CHOUDHARY,Chhattisgarh,Bharatiya Janata Party,TAMRADHWAJ SAHU,Indian National Congress,145456,Result Declared
Mahbubnagar,11,ARUNA. D. K,Telangana,Bharatiya Janata Party,CHALLA VAMSHI CHAND REDDY,Indian National Congress,4500,Result Declared
Mahesana,4,HARIBHAI PATEL,Gujarat,Bharatiya Janata Party,RAMJI THAKOR,Indian National Congress,328046,Result Declared
Mainpuri,21,DIMPLE YADAV,Uttar Pradesh,Samajwadi Party,JAYVEER SINGH,Bharatiya Janata Party,221639,Result Declared
Malappuram,6,E.T. MOHAMMED BASHEER,Kerala,Indian Union Muslim League,V. VASEEF,Communist Party of India (Marxist),300118,Result Declared
Maldaha Dakshin,8,ISHA KHAN CHOUDHURY,West Bengal,Indian National Congress,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party,128368,Result Declared
Maldaha Uttar,7,KHAGEN MURMU,West Bengal,Bharatiya Janata Party,PRASUN BANERJEE,All India Trinamool Congress,77708,Result Declared
Malkajgiri,7,EATALA RAJENDER,Telangana,Bharatiya Janata Party,PATNAM SUNEETHA MAHENDER REDDY,Indian National Congress,391475,Result Declared
MANDI,2,KANGNA RANAUT,Himachal Pradesh,Bharatiya Janata Party,VIKRAMADITYA SINGH,Indian National Congress,74755,Result Declared
MANDLA,14,FAGGAN SINGH KULASTE,Madhya Pradesh,Bharatiya Janata Party,OMKAR SINGH MARKAM,Indian National Congress,103846,Result Declared
MANDSOUR,23,SUDHEER GUPTA,Madhya Pradesh,Bharatiya Janata Party,DILIP SINGH GURJAR,Indian National Congress,500655,Result Declared
Mandya,20,H.D. KUMARASWAMY,Karnataka,Janata Dal (Secular),VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress,284620,Result Declared
Mathura,17,HEMAMALINI DHARMENDRA DEOL,Uttar Pradesh,Bharatiya Janata Party,MUKESH DHANGAR,Indian National Congress,293407,Result Declared
Mathurapur,20,BAPI HALDAR,West Bengal,All India Trinamool Congress,ASHOK PURKAIT,Bharatiya Janata Party,201057,Result Declared
Maval,33,SHRIRANG APPA CHANDU BARNE,Maharashtra,Shiv Sena,SANJOG BHIKU WAGHERE PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),96615,Result Declared
Mavelikkara,16,KODIKUNNIL SURESH,Kerala,Indian National Congress,ADV ARUN KUMAR C A,Communist Party of India,10868,Result Declared
MAYILADUTHURAI,28,SUDHA R,Tamil Nadu,Indian National Congress,BABU P,All India Anna Dravida Munnetra Kazhagam,271183,Result Declared
Mayurbhanj,5,NABA CHARAN MAJHI,Odisha,Bharatiya Janata Party,SUDAM MARNDI,Biju Janata Dal,219334,Result Declared
Medak,6,MADHAVANENI RAGHUNANDAN RAO,Telangana,Bharatiya Janata Party,NEELAM MADHU,Indian National Congress,39139,Result Declared
Medinipur,34,JUNE MALIAH,West Bengal,All India Trinamool Congress,AGNIMITRA PAUL,Bharatiya Janata Party,27191,Result Declared
Meerut,10,ARUN GOVIL,Uttar Pradesh,Bharatiya Janata Party,SUNITA VERMA,Samajwadi Party,10585,Result Declared
Mirzapur,79,ANUPRIYA PATEL,Uttar Pradesh,Apna Dal (Soneylal),RAMESH CHAND BIND,Samajwadi Party,37810,Result Declared
Misrikh,32,ASHOK KUMAR RAWAT,Uttar Pradesh,Bharatiya Janata Party,SANGITA RAJVANSHI,Samajwadi Party,33406,Result Declared
MIZORAM,1,RICHARD VANLALHMANGAIHA,Mizoram,Zoram People’s Movement,K VANLALVENA,Mizo National Front,68288,Result Declared
Mohanlalganj,34,R.K. CHAUDHARY,Uttar Pradesh,Samajwadi Party,KAUSHAL KISHORE,Bharatiya Janata Party,70292,Result Declared
Moradabad,6,RUCHI VIRA,Uttar Pradesh,Samajwadi Party,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,105762,Result Declared
MORENA,1,SHIVMANGAL SINGH TOMAR,Madhya Pradesh,Bharatiya Janata Party,NEETU SATYAPAL SINGH SIKARWAR,Indian National Congress,52530,Result Declared
Mumbai North,26,PIYUSH GOYAL,Maharashtra,Bharatiya Janata Party,BHUSHAN PATIL,Indian National Congress,357608,Result Declared
Mumbai North Central,29,GAIKWAD VARSHA EKNATH,Maharashtra,Indian National Congress,ADV UJWAL NIKAM,Bharatiya Janata Party,16514,Result Declared
Mumbai North East,28,SANJAY DINA PATIL,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackrey),MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,29861,Result Declared
Mumbai North West,27,RAVINDRA DATTARAM WAIKAR,Maharashtra,Shiv Sena,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),48,Result Declared
Mumbai South,31,ARVIND GANPAT SAWANT,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackrey),YAMINI YASHWANT JADHAV,Shiv Sena,52673,Result Declared
Mumbai South Central,30,ANIL YESHWANT DESAI,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackrey),RAHUL RAMESH SHEWALE,Shiv Sena,53384,Result Declared
Munger,28,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Bihar,Janata Dal (United),KUMARI ANITA,Rashtriya Janata Dal,80870,Result Declared
Murshidabad,11,ABU TAHER KHAN,West Bengal,All India Trinamool Congress,MD SALIM,Communist Party of India (Marxist),164215,Result Declared
Muzaffarnagar,3,HARENDRA SINGH MALIK,Uttar Pradesh,Samajwadi Party,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,24672,Result Declared
Muzaffarpur,15,RAJ BHUSHAN CHOUDHARY,Bihar,Bharatiya Janata Party,AJAY NISHAD,Indian National Congress,234927,Result Declared
Mysore,21,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Karnataka,Bharatiya Janata Party,M. LAKSHMANA,Indian National Congress,139262,Result Declared
Nabarangpur,12,BALABHADRA MAJHI,Odisha,Bharatiya Janata Party,PRADEEP KUMAR MAJHI,Biju Janata Dal,87536,Result Declared
Nagaland,1,S SUPONGMEREN JAMIR,Nagaland,Indian National Congress,DR CHUMBEN MURRY,Nationalist Democratic Progressive Party,50984,Result Declared
Nagaon,9,PRADYUT BORDOLOI,Assam,Indian National Congress,SURESH BORAH,Bharatiya Janata Party,212231,Result Declared
NAGAPATTINAM,29,SELVARAJ V,Tamil Nadu,Communist Party of India,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam,208957,Result Declared
Nagarkurnool,12,DR.MALLU RAVI,Telangana,Indian National Congress,BHARATH PRASAD POTHUGANTI,Bharatiya Janata Party,94414,Result Declared
NAGAUR,14,HANUMAN BENIWAL,Rajasthan,Rashtriya Loktantrik Party,JYOTI MIRDHA,Bharatiya Janata Party,42225,Result Declared
Nagina,5,CHANDRASHEKHAR,Uttar Pradesh,Aazad Samaj Party (Kanshi Ram),OM KUMAR,Bharatiya Janata Party,151473,Result Declared
Nagpur,10,NITIN JAIRAM GADKARI,Maharashtra,Bharatiya Janata Party,VIKAS THAKRE,Indian National Congress,137603,Result Declared
Nainital-Udhamsingh Nagar,4,AJAY BHATT,Uttarakhand,Bharatiya Janata Party,PRAKASH JOSHI,Indian National Congress,334548,Result Declared
Nalanda,29,KAUSHALENDRA KUMAR,Bihar,Janata Dal (United),DR. SANDEEP SAURAV,Communist Party of India (Marxist-Leninist) (Liberation),169114,Result Declared
Nalgonda,13,KUNDURU RAGHUVEER,Telangana,Indian National Congress,SAIDI REDDY SHANAMPUDI,Bharatiya Janata Party,559905,Result Declared
NAMAKKAL,16,MATHESWARAN V S,Tamil Nadu,Dravida Munnetra Kazhagam,TAMILMANI S,All India Anna Dravida Munnetra Kazhagam,29112,Result Declared
